Dokument,Gruppe,Dominantes_Thema,Themenanteil,Thema_1,Thema_2,Thema_3,Thema_4,Thema_5,Thema_6,Thema_7,Thema_8
OCR 44. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6879370494434905,6.112491997241101e-05,6.121825547483826e-05,6.117199334690926e-05,6.11249199766912e-05,6.112491996674263e-05,0.6879370494434905,6.122898091830405e-05,0.31169595656685345
OCR 45. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6289100793408353,7.379011632725643e-05,7.39173466473685e-05,7.385468105831074e-05,7.379011633053888e-05,7.379011631939927e-05,0.6289100793408353,0.062061697776890995,0.3086590805055909
OCR 46. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6802633308096265,6.582436335276339e-05,6.594616718545178e-05,6.59056086980533e-05,6.58243633552688e-05,6.582436334644943e-05,0.6802633308096265,0.008264160703060549,0.31114318362137483
OCR 47. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6018334924403347,7.383368982914767e-05,7.395415956723931e-05,7.389618788233215e-05,7.383368983258684e-05,7.383368982240728e-05,0.6018334924403347,0.028413332238140382,0.3693838239045913
OCR 48. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6519546162824451,7.876525439829974e-05,7.888293381942526e-05,7.88384445766249e-05,7.876525440263841e-05,7.876525439041949e-05,0.6519546162824451,0.03102559001615097,0.31662577655981655
OCR 49. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6576125785749075,7.485058520746748e-05,7.496129003468141e-05,7.492113038226817e-05,7.485058521008448e-05,7.485058520086821e-05,0.6576125785749075,0.036646435167702746,0.30536655208135444
OCR 50. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6747797720268814,7.379010783394176e-05,7.390495730977116e-05,7.389864901445263e-05,7.37901078382536e-05,7.379010782818374e-05,0.6747797720268814,7.393191893626872e-05,0.3247771221243575
OCR 50a Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5756092420134581,0.00027412388664041406,0.0002744875186032244,0.00027455140935888435,0.00027412388667287047,0.00027412388663270164,0.5756092420134581,0.09637782212712251,0.32664152527151125
OCR 52. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6681055279739491,7.48057769005899e-05,7.494189030936078e-05,7.49042019091401e-05,7.480577690317538e-05,7.4805776893022e-05,0.6681055279739491,0.022818436357921173,0.3087017722452145
OCR 53. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6567846205821899,6.975471855391812e-05,6.986106656582146e-05,6.983587097124993e-05,6.975471855762334e-05,6.975471854808137e-05,0.6567846205821899,0.021491633604463017,0.32137478472015046
OCR 54. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6455007018278962,7.735177746249346e-05,7.747818727673815e-05,7.748093987439703e-05,7.735177746906489e-05,7.735177745835158e-05,0.6455007018278962,0.028219636838958475,0.32589264687360425
OCR 55. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.7034949803152266,5.8248107316834505e-05,5.835025812051753e-05,5.832294774230943e-05,5.824810732038648e-05,5.824810731277241e-05,0.7034949803152266,0.0291372162240036,0.267076385932957
OCR 56. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6304832540038193,6.53768191318865e-05,6.54812635124611e-05,6.546857039304691e-05,6.537681913612379e-05,6.537681912805417e-05,0.6304832540038193,0.05365203503710679,0.3155376306677723
OCR 57. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6181302969668885,7.050223517743914e-05,7.060869788146369e-05,7.059897907465916e-05,7.050223518080931e-05,7.050223517170524e-05,0.6181302969668885,0.07060188062035685,0.31091510803026845
OCR 58. Ausgbe 1930-1.txt,documents-export-2026-02-23 (1),6,0.630297535182709,8.46886582729231e-05,8.484002928770835e-05,8.478896683995594e-05,8.468865827824897e-05,8.468865826884479e-05,0.630297535182709,0.02863305409962105,0.34064571574672214
OCR 59. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6186566168129304,6.28458794590993e-05,6.295736000130192e-05,6.289262208971438e-05,6.28458794624295e-05,6.284587945430196e-05,0.6186566168129304,0.05494171249327514,0.3260872830733276
OCR 60. Ausgbe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6928761025899726,5.526103273758616e-05,5.534300092806847e-05,5.531728945735556e-05,5.526103274007808e-05,5.526103273377461e-05,0.6928761025899726,0.04563750425342012,0.2612099497680104
OCR 61. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6719832914651516,7.263245370407867e-05,7.274820865678215e-05,7.272865960029845e-05,7.263245370779074e-05,7.263245369870498e-05,0.6719832914651516,0.060438673155342404,0.2672146611501383
OCR 62. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6796881891649935,5.550642237529161e-05,5.560168108335632e-05,5.554973362378262e-05,5.550642237820173e-05,5.5506422371223724e-05,0.6796881891649935,0.036734172739945836,0.2832999674132286
OCR 63. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.593789215117796,6.883285387108351e-05,6.893956830723196e-05,6.88849841747667e-05,6.883285387441937e-05,6.88328538669585e-05,0.593789215117796,0.07316502971049105,0.3327014320576186
OCR 64_65. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6349608715231758,5.707782605769968e-05,5.7168055718512065e-05,5.7135707505212695e-05,5.70778260597038e-05,5.707782605298344e-05,0.6349608715231758,0.06869266376291432,0.2960609274725159
OCR 66. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.6396420009281895,5.1546581597667234e-05,5.164545085555029e-05,5.161427788779423e-05,5.154658160003711e-05,5.154658159331612e-05,0.6396420009281895,0.03554594040410445,0.3245541591941716
OCR Ausgabe 34 a (2) 1930-1.txt,documents-export-2026-02-23 (1),8,0.5182938417586057,7.512047721108356e-05,7.524133774222059e-05,7.515413690901313e-05,7.51204772170082e-05,7.512047720699258e-05,0.4812551545667538,7.524676835426666e-05,0.5182938417586057
20. Ausgabe Stadtwächter OCR.txt,documents-export-2026-02-23(2),6,0.6509839436896742,9.370347445683724e-05,9.385925052289762e-05,9.382176771780661e-05,9.37034744617079e-05,9.370347445012953e-05,0.6509839436896742,0.03102598800713548,0.31752127686158094
21. Ausgabe Stadtwächter OCR.txt,documents-export-2026-02-23(2),6,0.6160238556116507,0.00014585816316702388,0.00014609858576619566,0.00014595507139326144,0.0001458581631744335,0.00014585816315382266,0.6160238556116507,0.09944222128699272,0.2838042949547019
