Nr,Datei,Treffer-Wortform,Kontext
106,21. Ausgabe 1931-1.txt,Sozialdemokraten,"mehr machen . Dafür haben die Sozialdemokraten ihren Antrag auf Erhöhung 
 der"
107,21. Ausgabe 1931-1.txt,Sozialdemokraten,"versetzen und sein Amt dem 
 Sozialdemokraten Kapuse zu übergeben . Was am"
108,22. Ausgabe 1930.txt,Sozialdemokraten,"Kohlbrecher unter 
 Anklage , den Sozialdemokraten Grewe mit zwei Artikeln über den"
109,22. Ausgabe 1930.txt,Sozialdemokraten,"hätten wir keine Kommunisten und keine Sozialdemokraten ! Es ist niemals 
 einzusehen"
110,22. Ausgabe 1930.txt,Sozialdemokraten,"nach parlamentarischem Anstand hatten die 
 Sozialdemokraten das Anrecht auf den Worthalterposten ."
111,22. Ausgabe 1930.txt,Sozialdemokraten,"
 dabei für den Kandidaten der Sozialdemokraten gestimmt . Denn ich sehe nicht"
112,22. Ausgabe 1930.txt,Sozialdemokrat,", warum nicht 
 auch ein Sozialdemokrat , sofern er dazu geeignet ist"
113,22. Ausgabe 1931-1.txt,sozialdemokratischer,"wir bereits berichteten , als 
 sozialdemokratischer Polizeipräsident von Berlin fünf Schutzpolizeibeamte vom"
114,22. Ausgabe 1931-1.txt,Sozialdemokratie,"
 obwohl heute selbst in der Sozialdemokratie nicht mehr geleugnet wird , daß"
115,22. Ausgabe 1931-1.txt,Sozialdemokraten,"die Juden so sehr mit den Sozialdemokraten 
 und Kommunisten für eine Verbesserung"
116,22. Ausgabe 1931-1.txt,sozialdemokratische,"Scharf geißelte der 
 Vortragende die sozialdemokratische Machtpolitik , die vor allem in"
117,23. Ausgabe 1930.txt,Sozialdemokratenpresse,"die intelligenten Köpfe der Zentrums- und Sozialdemokratenpresse werfen jetzt auch den 
 Schwindel"
118,23. Ausgabe 1930.txt,sozialdemokratische,"wird 
 Die Berliner jüdische und sozialdemokratische Stadträtin Weyhl ist des Gerüchts überführt"
119,23. Ausgabe 1930.txt,sozialdemokratisch,"
 beide politisch rot , also sozialdemokratisch eingestellt , gehören auch beide der"
120,23. Ausgabe 1930.txt,Sozialdemokratie,"zur 
 Verfügung steht . Die Sozialdemokratie fordert bei den Etatverhandlungen Rechenschaft über"
121,23. Ausgabe 1930.txt,Sozialdemokrat,"der neue preußische Kultusminister , der Sozialdemokrat Grimme , behält den Kopf oben"
122,23. Ausgabe 1931-1.txt,sozialdemokratische,"Judas Solde stehen , 
 irregeführte sozialdemokratische Arbeiter und der von seiner Kirche"
123,23. Ausgabe 1931-1.txt,Sozialdemokraten,"... Von dieser , nach den Sozialdemokraten sozialsten Partei werden als 
 Doppelverdiener"
124,23. Ausgabe 1931-1.txt,sozialdemokratische,"unlängst die Kunde , daß der sozialdemokratische Bürgermeister von 
 Altona , den"
125,23. Ausgabe 1931-1.txt,sozialdemokratische,"von 
 Altona , den die sozialdemokratische Partei als Nachfolger des berühmten Böß"
